,user,trial,task,action_type,x,y,sx,sy,tx,ty,distance,width,height,direction,timestamp,is_valid,is_success,start_time,movement_time,dx,mean_dx,std_dx,ID_list,WD_pairs_code,mean_time,std_time,variance_time,ID_square_list
0,14,1,31,MOUSE_PRESSED,305.646666666667,106.045,98,105,308,105,210,8,-1,0,1583717859404,1,1,1583717858258,1146,-2.35333333333335,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
1,14,2,31,MOUSE_PRESSED,95.0383333333333,109.643333333333,308,105,98,105,210,8,-1,0,1583717860563,1,1,1583717859404,1159,-2.96166666666667,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
2,14,3,31,MOUSE_PRESSED,308.821666666667,111.336666666667,98,105,308,105,210,8,-1,0,1583717861587,1,1,1583717860563,1024,0.821666666666658,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
3,14,4,31,MOUSE_PRESSED,97.155,118.745,308,105,98,105,210,8,-1,0,1583717862715,1,1,1583717861587,1128,-0.844999999999999,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
4,14,5,31,MOUSE_PRESSED,311.361666666667,117.686666666667,98,105,308,105,210,8,-1,0,1583717863580,1,1,1583717862715,865,3.36166666666662,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
5,14,6,31,MOUSE_PRESSED,96.7316666666666,118.321666666667,308,105,98,105,210,8,-1,0,1583717864867,1,1,1583717863580,1287,-1.26833333333336,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
6,14,7,31,MOUSE_PRESSED,307.551666666667,112.606666666667,98,105,308,105,210,8,-1,0,1583717865921,1,1,1583717864867,1054,-0.44833333333338,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
7,14,8,31,MOUSE_PRESSED,97.155,122.555,308,105,98,105,210,8,-1,0,1583717866843,1,1,1583717865921,922,-0.844999999999999,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
8,14,9,31,MOUSE_PRESSED,313.69,116.628333333333,98,105,308,105,210,8,-1,0,1583717867867,1,0,1583717866843,1024,5.68999999999994,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
9,14,9,31,MOUSE_PRESSED,95.885,123.19,308,105,98,105,210,8,-1,0,1583717869586,1,1,1583717868317,1269,-2.11499999999999,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
10,14,10,31,MOUSE_PRESSED,311.573333333333,124.671666666667,98,105,308,105,210,8,-1,0,1583717870530,1,1,1583717869586,944,3.57333333333332,0.24469428007888,2.21362277326146,4.76818432477693,12,1032.50595238095,208.471620685492,43460.4166312358,22.7355817550484
11,14,1,15,MOUSE_PRESSED,240.03,134.62,166,105,240,105,75,14,-1,0,1583717872675,1,1,1583717872003,672,0.030000000000001,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
12,14,2,15,MOUSE_PRESSED,164.253333333333,135.466666666667,240,105,166,105,75,14,-1,0,1583717873563,1,1,1583717872675,888,-1.74666666666667,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
13,14,3,15,MOUSE_PRESSED,241.511666666667,133.561666666667,166,105,240,105,75,14,-1,0,1583717874473,1,1,1583717873563,910,1.51166666666663,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
14,14,4,15,MOUSE_PRESSED,169.968333333333,137.795,240,105,166,105,75,14,-1,0,1583717875227,1,1,1583717874473,754,3.96833333333333,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
15,14,5,15,MOUSE_PRESSED,232.198333333333,132.503333333333,166,105,240,105,75,14,-1,0,1583717875931,1,0,1583717875227,704,-7.80166666666671,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
16,14,5,15,MOUSE_PRESSED,167.005,133.138333333333,240,105,166,105,75,14,-1,0,1583717877065,1,1,1583717876323,742,1.005,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
17,14,6,15,MOUSE_PRESSED,237.913333333333,130.81,166,105,240,105,75,14,-1,0,1583717877755,1,1,1583717877065,690,-2.08666666666667,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
18,14,7,15,MOUSE_PRESSED,162.771666666667,132.08,240,105,166,105,75,14,-1,0,1583717878579,1,1,1583717877755,824,-3.22833333333338,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
19,14,8,15,MOUSE_PRESSED,238.336666666667,128.27,166,105,240,105,75,14,-1,0,1583717879307,1,1,1583717878579,728,-1.66333333333336,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
20,14,9,15,MOUSE_PRESSED,168.063333333333,133.138333333333,240,105,166,105,75,14,-1,0,1583717879978,1,1,1583717879307,671,2.06333333333333,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
21,14,10,15,MOUSE_PRESSED,239.818333333333,126.788333333333,166,105,240,105,75,14,-1,0,1583717880612,1,1,1583717879978,634,-0.181666666666672,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
22,14,1,26,MOUSE_PRESSED,278.553333333333,124.46,123,105,283,105,160,10,-1,0,1583717882553,1,1,1583717881523,1030,-4.44666666666666,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
23,14,2,26,MOUSE_PRESSED,122.766666666667,129.328333333333,283,105,123,105,160,10,-1,0,1583717883667,1,1,1583717882553,1114,-0.233333333333363,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
24,14,3,26,MOUSE_PRESSED,277.918333333333,124.46,123,105,283,105,160,10,-1,0,1583717884547,1,0,1583717883667,880,-5.08166666666671,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
25,14,3,26,MOUSE_PRESSED,122.343333333333,130.81,283,105,123,105,160,10,-1,0,1583717885963,1,1,1583717884859,1104,-0.656666666666681,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
26,14,4,26,MOUSE_PRESSED,283.21,123.19,123,105,283,105,160,10,-1,0,1583717886826,1,1,1583717885963,863,0.20999999999998,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
27,14,5,26,MOUSE_PRESSED,125.73,134.62,283,105,123,105,160,10,-1,0,1583717887945,1,1,1583717886826,1119,2.73,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
28,14,6,26,MOUSE_PRESSED,290.195,117.686666666667,123,105,283,105,160,10,-1,0,1583717888827,1,0,1583717887945,882,7.19499999999999,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
29,14,6,26,MOUSE_PRESSED,122.978333333333,125.941666666667,283,105,123,105,160,10,-1,0,1583717890107,1,1,1583717889124,983,-0.021666666666675,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
30,14,7,26,MOUSE_PRESSED,280.881666666667,117.898333333333,123,105,283,105,160,10,-1,0,1583717891139,1,1,1583717890107,1032,-2.11833333333334,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
31,14,8,26,MOUSE_PRESSED,125.73,122.555,283,105,123,105,160,10,-1,0,1583717892475,1,1,1583717891139,1336,2.73,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
32,14,9,26,MOUSE_PRESSED,278.553333333333,112.606666666667,123,105,283,105,160,10,-1,0,1583717893819,1,1,1583717892475,1344,-4.44666666666666,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
33,14,10,26,MOUSE_PRESSED,122.978333333333,120.438333333333,283,105,123,105,160,10,-1,0,1583717894808,1,1,1583717893819,989,-0.021666666666675,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
34,14,1,35,MOUSE_PRESSED,302.048333333333,115.993333333333,98,105,308,105,210,20,-1,0,1583717896883,1,1,1583717895905,978,-5.95166666666665,-0.397733739837414,4.84667026680089,3.52356195605701,36,788.211180124224,153.611165562806,23596.3901855638,12.4154888581723
35,14,2,35,MOUSE_PRESSED,99.695,123.19,308,105,98,105,210,20,-1,0,1583717897731,1,1,1583717896883,848,1.69499999999999,-0.397733739837414,4.84667026680089,3.52356195605701,36,788.211180124224,153.611165562806,23596.3901855638,12.4154888581723
36,14,3,35,MOUSE_PRESSED,300.778333333333,117.263333333333,98,105,308,105,210,20,-1,0,1583717898619,1,1,1583717897731,888,-7.22166666666669,-0.397733739837414,4.84667026680089,3.52356195605701,36,788.211180124224,153.611165562806,23596.3901855638,12.4154888581723
