mouse,793,814,840,844,530,626,824,860,1049,775,850,648,928,872,1041,763,790,570,1107,911,1007,975,855,1151,1120,952,904,919,1041,863,1353,1232,1072,865,921,722
mouse,920,682,751,698,511,773,824,783,1063,738,583,649,945,768,780,680,600,670,967,1114,889,704,753,787,1512,863,1113,1241,885,847,1055,1457,1120,805,863,839
mouse,1005,1297,480,480,729,510,973,793,773,599,456,593,1190,967,951,656,686,794,1049,1083,1272,656,1047,1015,1113,1168,941,797,852,721,862,1296,1129,783,975,958
mouse,625,814,440,464,544,441,680,777,742,730,479,543,778,566,897,431,602,642,1223,996,888,670,935,775,886,1271,993,1102,850,704,1288,1280,872,960,1009,842
mouse,839,880,432,584,786,364,665,816,610,606,359,760,1270,723,673,538,585,638,983,894,1112,708,816,776,856,1056,912,979,794,729,1001,1145,1073,1001,1001,768
mouse,719,834,552,582,724,394,521,632,635,754,537,743,986,776,640,546,574,494,1114,834,1369,621,930,839,825,897,1024,936,800,768,1313,1228,943,1042,991,816
mouse,545,720,465,522,603,368,918,809,597,725,619,872,903,728,712,682,641,562,1128,1064,936,602,790,883,856,943,999,1191,763,625,1106,1004,926,1158,990,809
mouse,496,664,712,441,582,632,560,695,555,595,523,694,1137,743,695,526,582,608,975,1137,965,671,753,816,1296,1000,929,990,717,669,1039,952,932,958,963,805
mouse,672,653,514,577,582,521,849,646,527,599,445,738,1143,675,696,769,579,616,886,861,930,608,711,727,1031,848,1000,986,735,611,1274,887,909,970,1191,970
mouse,1009,699,727,422,610,430,647,769,993,577,468,654,1026,677,656,695,660,551,995,1139,1184,750,778,752,951,1176,976,1048,753,589,1171,793,769,815,1162,801
mouse,585,574,695,433,560,530,807,649,653,560,415,706,1704,857,665,874,636,616,1183,903,904,729,815,758,881,1088,969,1169,687,697,978,1167,953,768,1239,901
mouse,760,569,649,537,560,455,767,544,634,600,578,693,1158,824,711,624,680,560,929,874,910,606,761,747,1024,1049,1151,1085,914,838,889,928,880,905,1016,893
